step,n_active,gpu_util,n_full,n_lite,n_skip,n_offload,avg_fps,avg_lat_ms,action
0,4,45.3,4,0,0,0,12.98,300.21,noop
1,4,56.6,4,0,0,0,14.97,88.36,0_LITE
2,4,45.0,3,1,0,0,12.85,145.52,noop
3,4,43.3,3,1,0,0,15.82,71.94,noop
4,4,71.8,3,1,0,0,16.2,72.04,1_LITE
5,4,56.5,2,2,0,0,15.43,115.55,noop
6,4,53.9,2,2,0,0,18.79,65.13,noop
7,4,59.5,2,2,0,0,18.84,64.17,2_LITE
8,4,48.6,1,3,0,0,16.82,111.29,noop
9,4,60.4,1,3,0,0,18.7,65.19,noop
10,4,58.5,1,3,0,0,19.11,60.27,3_LITE
11,4,33.7,0,4,0,0,16.3,113.4,noop
12,4,52.0,0,4,0,0,19.17,58.43,noop
13,4,71.2,0,4,0,0,19.17,61.14,1_SKIP
14,4,20.5,0,3,1,0,18.64,66.82,noop
15,7,32.5,3,3,1,0,9.59,183.71,noop
16,7,86.8,3,3,1,0,9.92,153.05,4_LITE
17,7,5.8,2,4,1,0,11.56,151.58,noop
18,7,43.2,2,4,1,0,11.38,125.31,noop
19,7,59.0,2,4,1,0,11.25,160.93,6_LITE
20,7,43.8,1,5,1,0,9.73,246.22,noop
21,7,31.3,1,5,1,0,11.19,153.33,noop
22,7,31.4,1,5,1,0,11.84,110.81,5_LITE
23,7,42.4,0,6,1,0,9.37,249.67,noop
24,7,54.3,0,6,1,0,12.3,115.98,noop
25,7,89.4,0,6,1,0,11.58,135.4,2_SKIP
26,7,31.7,0,5,2,0,11.47,132.48,noop
27,7,14.9,0,5,2,0,9.51,171.87,noop
28,7,33.0,0,5,2,0,11.39,128.97,1_OFFLOAD
29,7,45.7,0,5,1,1,13.15,117.41,noop
30,7,40.1,0,5,1,1,11.8,128.23,noop
31,7,32.1,0,5,1,1,13.89,121.09,2_OFFLOAD
32,7,16.4,0,5,0,2,14.69,105.7,noop
33,7,50.8,0,5,0,2,15.0,89.91,noop
34,7,56.4,0,5,0,2,14.72,89.59,1_SKIP
35,4,44.6,0,2,1,1,17.48,74.23,noop
36,4,37.8,0,2,1,1,18.29,68.95,noop
37,4,22.9,0,2,1,1,18.19,70.17,0_OFFLOAD
38,4,30.2,0,1,1,2,15.57,86.07,noop
39,4,23.1,0,1,1,2,15.65,82.68,noop
40,4,26.8,0,1,1,2,14.89,86.13,noop
41,4,26.4,0,1,1,2,15.05,85.02,noop
42,4,27.6,0,1,1,2,15.76,82.58,noop
43,4,17.5,0,1,1,2,14.93,87.4,noop
44,4,28.4,0,1,1,2,15.29,84.06,noop
45,4,25.3,0,1,1,2,15.39,85.41,0_LITE
46,4,36.4,0,2,1,1,18.06,80.42,noop
47,4,32.7,0,2,1,1,17.9,72.85,noop
48,4,36.6,0,2,1,1,17.83,68.09,3_OFFLOAD
49,4,26.4,0,1,1,2,15.51,89.2,noop
50,4,26.6,0,1,1,2,15.53,88.45,noop
51,4,27.9,0,1,1,2,15.15,88.79,1_LITE
52,4,34.9,0,2,0,2,18.69,69.76,noop
53,4,47.1,0,2,0,2,18.74,67.69,noop
54,4,24.1,0,2,0,2,19.25,65.32,2_SKIP
55,4,26.9,0,2,1,1,17.75,74.11,noop
56,4,38.9,0,2,1,1,17.54,75.74,noop
57,4,14.6,0,2,1,1,18.41,71.17,1_OFFLOAD
58,4,11.9,0,1,1,2,15.71,88.02,noop
59,4,32.6,0,1,1,2,16.09,79.71,noop
