step,n_active,gpu_util,n_full,n_lite,n_skip,n_offload,avg_fps,avg_lat_ms,action
0,3,41.9,3,0,0,0,16.07,265.75,noop
1,3,90.4,3,0,0,0,16.65,75.36,0_LITE
2,3,58.4,2,1,0,0,13.56,135.59,noop
3,3,69.6,2,1,0,0,19.26,61.15,noop
4,3,63.5,2,1,0,0,19.09,61.14,1_LITE
5,3,62.6,1,2,0,0,19.05,88.71,noop
6,3,68.0,1,2,0,0,21.47,52.67,noop
7,3,52.8,1,2,0,0,21.55,52.8,2_LITE
8,3,36.6,0,3,0,0,19.47,67.31,noop
9,3,32.4,0,3,0,0,22.75,51.54,noop
10,4,44.4,1,3,0,0,17.78,69.13,1_SKIP
11,4,58.2,1,2,1,0,15.77,84.89,noop
12,4,52.9,1,2,1,0,15.57,96.24,noop
13,4,73.4,1,2,1,0,15.39,85.49,3_LITE
14,4,41.7,0,3,1,0,19.25,71.13,noop
15,4,43.9,0,3,1,0,19.26,61.74,noop
16,4,52.2,0,3,1,0,19.5,63.31,1_OFFLOAD
17,4,41.6,0,3,0,1,19.38,69.45,noop
18,4,59.7,0,3,0,1,19.4,68.46,noop
19,4,53.0,0,3,0,1,19.71,61.95,3_SKIP
20,5,43.9,1,2,1,1,13.51,107.8,noop
21,5,42.9,1,2,1,1,13.02,111.59,noop
22,5,46.1,1,2,1,1,13.56,99.44,4_LITE
23,5,24.0,0,3,1,1,15.5,86.91,noop
24,5,53.2,0,3,1,1,16.53,77.86,noop
25,5,59.1,0,3,1,1,17.55,70.68,3_OFFLOAD
26,5,42.2,0,3,0,2,17.49,73.74,noop
27,5,63.9,0,3,0,2,17.25,74.46,noop
28,5,30.7,0,3,0,2,17.56,71.92,3_SKIP
29,5,48.8,0,3,1,1,17.29,71.51,noop
30,6,59.0,1,3,1,1,12.69,116.94,noop
31,6,45.4,1,3,1,1,11.99,122.21,5_LITE
32,6,40.4,0,4,1,1,12.51,175.03,noop
33,6,58.4,0,4,1,1,15.43,97.14,noop
34,6,23.7,0,4,1,1,15.91,96.98,2_OFFLOAD
35,6,38.4,0,3,1,2,14.69,91.74,noop
36,6,32.9,0,3,1,2,15.62,85.99,noop
37,6,40.7,0,3,1,2,16.04,78.25,1_LITE
38,6,55.9,0,4,1,1,14.98,101.13,noop
39,6,35.6,0,4,1,1,15.93,79.24,noop
40,7,75.8,1,4,1,1,10.9,150.79,1_SKIP
41,7,66.8,1,3,2,1,9.19,189.66,noop
42,7,44.8,1,3,2,1,9.19,186.36,noop
43,7,22.2,1,3,2,1,9.75,170.19,1_OFFLOAD
44,7,46.5,1,3,1,2,11.42,154.5,noop
45,7,52.7,1,3,1,2,11.11,138.08,noop
46,7,42.6,1,3,1,2,11.98,113.36,2_SKIP
47,7,59.9,1,3,2,1,8.72,182.02,noop
48,7,48.1,1,3,2,1,9.13,160.19,noop
49,7,32.0,1,3,2,1,8.52,198.01,6_LITE
50,7,27.4,0,4,2,1,9.98,162.36,noop
51,7,18.6,0,4,2,1,11.13,134.95,noop
52,7,41.4,0,4,2,1,11.67,140.27,3_OFFLOAD
53,7,20.8,0,4,1,2,13.51,100.77,noop
54,7,2.1,0,4,1,2,14.12,88.53,noop
55,7,50.7,0,4,1,2,13.74,114.67,5_SKIP
56,7,23.4,0,3,2,2,12.23,108.24,noop
57,7,34.7,0,3,2,2,11.93,130.04,noop
58,7,46.4,0,3,2,2,11.56,153.78,1_LITE
59,7,13.7,0,4,2,1,11.02,164.54,noop
