step,n_active,gpu_util,n_full,n_lite,n_skip,n_offload,avg_fps,avg_lat_ms,action
0,3,43.5,3,0,0,0,15.95,268.5,noop
1,3,89.9,3,0,0,0,16.5,69.42,noop
2,3,22.9,3,0,0,0,18.0,66.24,noop
3,3,37.2,3,0,0,0,18.51,60.89,noop
4,3,42.4,3,0,0,0,18.85,59.76,noop
5,3,85.4,3,0,0,0,18.43,59.53,noop
6,3,73.5,3,0,0,0,18.98,59.65,noop
7,3,40.2,3,0,0,0,18.43,60.82,noop
8,3,56.1,3,0,0,0,18.78,58.51,noop
9,3,56.0,3,0,0,0,18.44,61.39,noop
10,4,46.0,4,0,0,0,14.25,144.52,noop
11,4,69.2,4,0,0,0,15.61,77.41,noop
12,4,92.8,4,0,0,0,16.38,70.11,noop
13,4,32.2,4,0,0,0,16.18,69.98,noop
14,4,72.0,4,0,0,0,15.86,73.13,noop
15,4,29.2,4,0,0,0,16.34,72.25,noop
16,4,70.2,4,0,0,0,16.51,75.6,noop
17,4,69.2,4,0,0,0,16.09,72.06,noop
18,4,75.5,4,0,0,0,16.04,75.81,noop
19,4,13.5,4,0,0,0,16.79,75.22,noop
20,5,58.7,5,0,0,0,11.51,171.8,2_LITE
21,5,47.5,4,1,0,0,12.58,130.45,4_LITE
22,5,71.8,3,2,0,0,13.16,173.8,0_LITE
23,5,85.0,2,3,0,0,15.7,121.72,1_LITE
24,5,47.0,1,4,0,0,15.19,121.65,3_LITE
25,5,66.2,0,5,0,0,14.72,115.44,noop
26,5,18.6,0,5,0,0,16.34,80.43,noop
27,5,40.8,0,5,0,0,16.33,76.59,noop
28,5,72.2,0,5,0,0,15.72,91.68,noop
29,5,34.6,0,5,0,0,16.37,88.93,noop
30,6,47.6,1,5,0,0,13.51,115.81,0_OFFLOAD
31,6,59.5,1,4,0,1,15.17,92.41,5_LITE
32,6,35.4,0,5,0,1,16.18,82.22,0_LITE
33,6,54.6,0,6,0,0,12.45,173.78,noop
34,6,49.9,0,6,0,0,14.97,89.25,noop
35,6,62.8,0,6,0,0,14.35,86.0,noop
36,6,27.0,0,6,0,0,14.33,106.28,noop
37,6,28.0,0,6,0,0,14.35,103.34,noop
38,6,32.7,0,6,0,0,14.0,105.56,noop
39,6,39.2,0,6,0,0,15.01,87.95,noop
40,7,56.7,1,6,0,0,12.66,120.69,noop
41,7,85.3,1,6,0,0,12.21,130.04,6_LITE
42,7,66.3,0,7,0,0,11.28,183.62,noop
43,7,35.5,0,7,0,0,13.26,113.37,noop
44,7,39.8,0,7,0,0,12.0,129.56,noop
45,7,77.5,0,7,0,0,12.16,125.48,noop
46,7,59.7,0,7,0,0,12.11,120.57,noop
47,7,51.6,0,7,0,0,12.55,128.0,noop
48,7,50.2,0,7,0,0,12.22,125.35,noop
49,7,32.8,0,7,0,0,12.76,125.93,noop
50,7,61.2,0,7,0,0,12.29,117.59,noop
51,7,5.6,0,7,0,0,12.88,105.39,noop
52,7,31.2,0,7,0,0,12.56,122.73,noop
53,7,33.0,0,7,0,0,13.18,116.47,noop
54,7,32.4,0,7,0,0,12.61,124.69,noop
55,7,68.8,0,7,0,0,13.44,100.02,noop
56,7,52.9,0,7,0,0,12.71,121.47,noop
57,7,33.3,0,7,0,0,12.12,124.87,noop
58,7,76.9,0,7,0,0,12.8,119.03,noop
59,7,64.0,0,7,0,0,12.65,115.22,noop
