step,n_active,gpu_util,n_full,n_lite,n_skip,n_offload,avg_fps,avg_lat_ms,action
0,3,45.9,3,0,0,0,14.56,267.2,noop
1,3,37.3,3,0,0,0,16.49,66.58,0_LITE
2,3,54.4,2,1,0,0,16.45,110.51,noop
3,3,21.7,2,1,0,0,21.11,53.3,noop
4,3,54.2,2,1,0,0,21.1,54.55,2_LITE
5,3,53.4,1,2,0,0,21.15,78.07,noop
6,3,42.9,1,2,0,0,21.62,52.73,noop
7,3,39.4,1,2,0,0,21.9,50.44,1_LITE
8,3,57.0,0,3,0,0,20.04,61.14,noop
9,3,62.1,0,3,0,0,23.56,48.06,noop
10,4,54.3,1,3,0,0,18.41,70.44,2_SKIP
11,4,45.3,1,2,1,0,15.85,79.74,noop
12,4,65.1,1,2,1,0,14.93,91.52,noop
13,4,59.6,1,2,1,0,14.75,108.73,3_LITE
14,4,41.2,0,3,1,0,19.98,64.2,noop
15,4,45.4,0,3,1,0,19.26,63.43,noop
16,4,33.6,0,3,1,0,20.29,57.19,2_OFFLOAD
17,4,49.5,0,3,0,1,18.94,77.47,noop
18,4,39.6,0,3,0,1,19.95,66.51,noop
19,4,47.5,0,3,0,1,20.0,62.39,3_SKIP
20,5,49.0,1,2,1,1,13.51,103.49,noop
21,5,53.4,1,2,1,1,13.73,97.72,noop
22,5,43.7,1,2,1,1,13.4,99.59,4_LITE
23,5,53.6,0,3,1,1,16.61,92.13,noop
24,5,40.0,0,3,1,1,15.76,89.09,noop
25,5,35.4,0,3,1,1,17.03,72.37,3_OFFLOAD
26,5,56.7,0,3,0,2,18.04,74.23,noop
27,5,64.0,0,3,0,2,18.16,69.79,noop
28,5,31.9,0,3,0,2,18.76,67.41,4_SKIP
29,5,41.5,0,2,1,2,16.24,76.61,noop
30,6,77.2,1,2,1,2,13.62,100.09,noop
31,6,61.7,1,2,1,2,12.91,103.33,5_LITE
32,6,58.9,0,3,1,2,16.65,77.98,noop
33,6,34.4,0,3,1,2,16.11,75.85,noop
34,6,35.0,0,3,1,2,15.2,81.58,3_LITE
35,6,20.9,0,4,1,1,13.44,134.82,noop
36,6,10.0,0,4,1,1,15.96,80.67,noop
37,6,64.6,0,4,1,1,15.6,85.14,1_OFFLOAD
38,6,46.4,0,3,1,2,14.88,94.79,noop
39,6,31.1,0,3,1,2,15.32,82.12,noop
40,7,42.8,1,3,1,2,11.63,119.21,0_SKIP
41,7,44.9,1,2,2,2,10.29,136.1,noop
42,7,51.5,1,2,2,2,10.28,141.77,noop
43,7,36.8,1,2,2,2,10.26,134.57,6_LITE
44,7,26.2,0,3,2,2,11.22,149.48,noop
45,7,10.1,0,3,2,2,11.73,134.01,noop
46,7,39.0,0,3,2,2,12.26,123.49,noop
47,7,13.5,0,3,2,2,12.64,125.13,noop
48,7,23.1,0,3,2,2,10.54,136.74,0_LITE
49,7,21.8,0,4,1,2,15.05,88.47,noop
50,7,45.5,0,4,1,2,14.58,97.33,noop
51,7,40.2,0,4,1,2,14.3,100.25,6_SKIP
52,7,45.4,0,3,2,2,12.84,97.62,noop
53,7,9.7,0,3,2,2,12.11,119.25,noop
54,7,34.9,0,3,2,2,11.52,134.39,1_LITE
55,7,57.0,0,4,2,1,12.44,110.53,noop
56,7,35.4,0,4,2,1,11.07,142.58,noop
57,7,11.3,0,4,2,1,11.0,143.68,6_OFFLOAD
58,7,63.2,0,4,1,2,13.38,102.69,noop
59,7,62.8,0,4,1,2,14.16,88.2,noop
