step,n_active,gpu_util,n_full,n_lite,n_skip,n_offload,avg_fps,avg_lat_ms,action
0,6,48.6,6,0,0,0,7.39,413.13,noop
1,6,13.6,6,0,0,0,8.21,264.84,3_LITE
2,6,58.0,5,1,0,0,8.2,245.49,noop
3,6,39.4,5,1,0,0,10.41,127.07,noop
4,6,46.3,5,1,0,0,10.61,150.19,5_LITE
5,6,34.7,4,2,0,0,11.47,166.56,noop
6,6,9.0,4,2,0,0,12.54,111.25,noop
7,6,19.5,4,2,0,0,13.17,104.3,4_LITE
8,6,33.0,3,3,0,0,12.89,147.06,noop
9,6,38.7,3,3,0,0,14.87,101.41,noop
10,6,64.9,3,3,0,0,14.31,93.06,0_SKIP
11,6,62.9,2,3,1,0,12.66,122.73,noop
12,6,33.3,2,3,1,0,12.5,117.76,noop
13,6,40.0,2,3,1,0,12.52,105.02,2_LITE
14,6,58.2,1,4,1,0,11.12,227.88,noop
15,6,38.5,1,4,1,0,12.21,141.88,noop
16,6,45.0,1,4,1,0,11.77,138.53,1_LITE
17,6,26.1,0,5,1,0,11.03,211.88,noop
18,6,47.0,0,5,1,0,13.52,120.81,noop
19,6,52.5,0,5,1,0,13.3,117.66,0_OFFLOAD
20,6,52.0,0,5,0,1,15.32,83.71,noop
21,6,67.0,0,5,0,1,15.63,83.24,noop
22,6,37.6,0,5,0,1,15.59,82.77,5_SKIP
23,6,20.0,0,4,1,1,14.64,98.16,noop
24,6,7.4,0,4,1,1,15.87,86.26,noop
25,6,32.0,0,4,1,1,14.58,106.53,2_OFFLOAD
26,6,31.6,0,3,1,2,14.94,90.08,noop
27,6,39.0,0,3,1,2,14.94,83.77,noop
28,6,13.0,0,3,1,2,14.52,87.84,0_LITE
29,6,26.0,0,4,1,1,14.51,108.22,noop
30,6,20.6,0,4,1,1,14.6,108.6,noop
31,6,69.1,0,4,1,1,15.58,84.5,5_LITE
32,6,38.0,0,5,0,1,15.05,103.52,noop
33,6,84.0,0,5,0,1,15.54,82.18,noop
34,6,79.0,0,5,0,1,15.78,79.68,3_SKIP
35,6,63.4,0,4,1,1,15.5,94.91,noop
36,6,51.5,0,4,1,1,14.71,100.99,noop
37,6,20.8,0,4,1,1,15.69,80.79,3_OFFLOAD
38,6,48.5,0,4,0,2,16.74,78.7,noop
39,6,72.2,0,4,0,2,16.43,78.86,noop
40,6,72.0,0,4,0,2,16.96,74.13,0_SKIP
41,6,30.5,0,3,1,2,15.57,86.85,noop
42,6,54.2,0,3,1,2,16.39,75.29,noop
43,6,42.1,0,3,1,2,16.36,72.86,noop
44,6,23.4,0,3,1,2,15.61,80.66,noop
45,6,50.7,0,3,1,2,15.62,77.32,2_LITE
46,6,80.0,0,4,1,1,16.38,77.21,noop
47,6,68.7,0,4,1,1,16.48,75.51,noop
48,6,59.7,0,4,1,1,16.45,72.52,0_OFFLOAD
49,6,68.5,0,4,0,2,16.44,79.1,noop
50,6,57.0,0,4,0,2,16.11,82.94,noop
51,6,74.0,0,4,0,2,17.02,70.25,2_SKIP
52,6,23.0,0,3,1,2,15.05,85.57,noop
53,6,3.0,0,3,1,2,15.75,79.46,noop
54,6,45.6,0,3,1,2,15.96,81.26,noop
55,6,36.3,0,3,1,2,16.48,77.63,3_LITE
56,6,23.6,0,4,1,1,15.65,81.88,noop
57,6,62.9,0,4,1,1,15.76,81.82,noop
58,6,56.9,0,4,1,1,15.72,82.73,4_OFFLOAD
59,6,25.9,0,3,1,2,14.97,83.26,noop
60,6,29.7,0,3,1,2,14.87,86.8,noop
61,6,36.0,0,3,1,2,15.81,77.01,noop
62,6,28.3,0,3,1,2,15.09,82.37,5_FULL
63,6,55.9,1,2,1,2,13.16,102.16,noop
64,6,43.2,1,2,1,2,12.95,96.2,noop
65,6,54.0,1,2,1,2,13.32,92.54,5_LITE
66,6,37.2,0,3,1,2,15.27,87.61,noop
67,6,27.8,0,3,1,2,14.67,88.71,noop
68,6,47.7,0,3,1,2,15.06,84.47,noop
69,6,20.7,0,3,1,2,15.16,86.42,2_FULL
70,6,62.6,1,3,0,2,14.92,85.21,noop
71,6,45.8,1,3,0,2,14.67,95.42,noop
72,6,27.3,1,3,0,2,15.24,85.81,2_LITE
73,6,38.4,0,4,0,2,16.76,74.56,noop
74,6,30.4,0,4,0,2,16.15,77.44,noop
75,6,57.2,0,4,0,2,15.44,85.57,2_SKIP
76,6,44.1,0,3,1,2,15.29,79.75,noop
77,6,57.4,0,3,1,2,15.14,82.99,noop
78,6,45.7,0,3,1,2,15.01,90.78,4_LITE
79,6,44.0,0,4,1,1,14.82,104.1,noop
80,6,59.6,0,4,1,1,15.27,85.27,noop
81,6,19.9,0,4,1,1,15.68,82.02,1_OFFLOAD
82,6,53.6,0,3,1,2,15.05,95.46,noop
83,6,41.0,0,3,1,2,15.35,84.68,noop
84,6,22.9,0,3,1,2,16.42,76.51,0_LITE
85,6,85.0,0,4,1,1,15.82,81.51,noop
86,6,30.8,0,4,1,1,15.79,76.12,noop
87,6,48.9,0,4,1,1,16.05,78.65,2_OFFLOAD
88,6,73.0,0,4,0,2,16.45,80.63,noop
