step,n_active,gpu_util,n_full,n_lite,n_skip,n_offload,avg_fps,avg_lat_ms,action
0,3,40.2,3,0,0,0,15.69,264.29,noop
1,3,69.9,3,0,0,0,16.36,68.47,0_LITE
2,3,57.1,2,1,0,0,13.64,137.68,noop
3,3,46.0,2,1,0,0,20.14,66.69,noop
4,3,53.6,2,1,0,0,20.8,54.63,1_LITE
5,3,69.0,1,2,0,0,19.56,85.19,noop
6,3,58.8,1,2,0,0,21.79,52.45,noop
7,3,46.3,1,2,0,0,22.27,49.91,2_LITE
8,3,44.9,0,3,0,0,20.13,59.17,noop
9,3,40.9,0,3,0,0,23.51,46.26,noop
10,6,39.7,3,3,0,0,11.8,137.35,0_SKIP
11,6,39.5,3,2,1,0,11.48,119.09,noop
12,6,39.3,3,2,1,0,12.37,119.74,noop
13,6,42.6,3,2,1,0,11.62,139.92,5_LITE
14,6,64.0,2,3,1,0,12.33,118.1,noop
15,6,88.8,2,3,1,0,12.57,106.89,noop
16,6,50.4,2,3,1,0,13.46,106.29,4_LITE
17,6,51.4,1,4,1,0,10.26,239.55,noop
18,6,50.2,1,4,1,0,11.16,164.04,noop
19,6,57.0,1,4,1,0,11.17,165.17,3_LITE
20,6,46.4,0,5,1,0,11.29,204.37,noop
21,6,35.6,0,5,1,0,14.77,110.07,noop
22,6,44.9,0,5,1,0,14.62,110.09,2_OFFLOAD
23,6,41.3,0,4,1,1,16.1,83.99,noop
24,6,33.0,0,4,1,1,15.22,89.92,noop
25,6,33.2,0,4,1,1,15.52,90.75,0_OFFLOAD
26,6,32.1,0,4,0,2,16.13,77.38,noop
27,6,35.6,0,4,0,2,16.4,73.57,noop
28,6,50.7,0,4,0,2,16.07,76.07,1_SKIP
29,6,39.1,0,3,1,2,15.0,82.73,noop
30,3,0.4,0,0,1,2,11.0,101.94,noop
31,3,0.0,0,0,1,2,11.39,99.62,noop
32,3,0.0,0,0,1,2,11.14,102.91,0_LITE
33,3,40.4,0,1,1,1,19.88,74.11,noop
34,3,28.7,0,1,1,1,19.82,68.18,noop
35,3,32.6,0,1,1,1,19.43,67.91,1_OFFLOAD
36,3,44.1,0,1,0,2,18.34,80.2,noop
37,3,38.5,0,1,0,2,20.13,69.71,noop
38,3,35.8,0,1,0,2,19.29,70.68,noop
39,3,39.9,0,1,0,2,19.59,67.99,2_LITE
40,3,30.5,0,2,0,1,21.98,56.78,noop
41,3,32.1,0,2,0,1,22.47,57.21,noop
42,3,31.7,0,2,0,1,22.14,56.56,0_OFFLOAD
43,3,40.0,0,1,0,2,18.05,91.44,noop
44,3,36.6,0,1,0,2,18.96,75.43,noop
45,3,41.1,0,1,0,2,19.06,72.4,0_LITE
46,3,37.1,0,2,0,1,22.3,61.9,noop
47,3,33.1,0,2,0,1,22.39,54.85,noop
48,3,33.2,0,2,0,1,22.04,59.06,2_OFFLOAD
49,3,34.8,0,1,0,2,18.26,85.18,noop
50,6,62.3,3,1,0,2,14.53,110.43,noop
51,6,70.0,3,1,0,2,15.12,82.9,5_LITE
52,6,75.0,2,2,0,2,16.32,75.96,noop
53,6,45.6,2,2,0,2,16.08,76.01,noop
54,6,73.8,2,2,0,2,16.42,73.35,3_LITE
55,6,66.1,1,3,0,2,16.5,72.47,noop
56,6,56.4,1,3,0,2,16.16,79.17,noop
57,6,54.5,1,3,0,2,16.02,79.33,4_LITE
58,6,62.8,0,4,0,2,16.99,74.58,noop
59,6,67.0,0,4,0,2,16.78,70.91,noop
60,6,63.2,0,4,0,2,16.94,72.53,2_SKIP
61,6,19.7,0,4,1,1,16.04,76.51,noop
62,6,49.2,0,4,1,1,16.1,81.93,noop
63,6,76.9,0,4,1,1,14.92,110.85,0_OFFLOAD
64,6,34.2,0,3,1,2,15.75,91.83,noop
65,6,17.3,0,3,1,2,15.34,85.78,noop
66,6,14.2,0,3,1,2,15.81,80.45,noop
67,6,34.5,0,3,1,2,16.02,76.75,0_FULL
68,6,34.6,1,3,1,1,12.89,110.4,noop
69,6,47.6,1,3,1,1,13.69,117.41,noop
70,3,64.7,1,0,1,1,18.4,73.67,0_LITE
