step,n_active,gpu_util,n_full,n_lite,n_skip,n_offload,avg_fps,avg_lat_ms,action
0,6,36.8,6,0,0,0,11.17,338.16,noop
1,6,52.0,6,0,0,0,7.94,317.31,2_LITE
2,6,79.8,5,1,0,0,8.74,247.88,noop
3,6,54.9,5,1,0,0,10.26,162.16,noop
4,6,69.4,5,1,0,0,11.03,114.53,3_OFFLOAD
5,6,29.5,4,1,0,1,12.7,108.83,noop
6,6,29.8,4,1,0,1,13.09,120.82,noop
7,6,11.1,4,1,0,1,13.5,90.72,5_LITE
8,6,55.7,3,2,0,1,14.49,127.15,noop
9,6,72.9,3,2,0,1,15.12,83.3,noop
10,6,46.1,3,2,0,1,14.85,80.83,0_LITE
11,6,89.6,2,3,0,1,15.09,113.42,noop
12,6,72.0,2,3,0,1,15.94,77.26,noop
13,6,56.1,2,3,0,1,16.35,75.91,1_LITE
14,6,59.0,1,4,0,1,14.27,138.88,noop
15,6,34.8,1,4,0,1,15.86,77.07,noop
16,6,47.8,1,4,0,1,16.1,72.56,4_LITE
17,6,53.7,0,5,0,1,13.5,131.72,noop
18,6,98.1,0,5,0,1,16.07,76.14,noop
19,6,29.4,0,5,0,1,15.42,86.5,3_SKIP
20,6,28.7,0,5,1,0,14.18,106.43,noop
21,6,12.8,0,5,1,0,14.32,109.57,noop
22,6,29.0,0,5,1,0,13.47,118.6,1_OFFLOAD
23,6,25.5,0,4,1,1,15.17,101.77,noop
24,6,31.9,0,4,1,1,15.49,85.01,noop
25,6,24.9,0,4,1,1,16.12,84.2,5_OFFLOAD
26,6,29.1,0,3,1,2,14.94,100.99,noop
27,6,45.0,0,3,1,2,15.26,91.11,noop
28,6,27.5,0,3,1,2,14.8,93.57,noop
29,6,13.0,0,3,1,2,14.49,91.1,3_LITE
30,6,50.4,0,4,0,2,15.94,78.16,noop
31,6,28.5,0,4,0,2,16.35,75.36,noop
32,6,84.8,0,4,0,2,16.33,77.78,0_SKIP
33,6,21.1,0,3,1,2,14.71,85.53,noop
34,6,36.2,0,3,1,2,14.82,89.34,noop
35,6,38.2,0,3,1,2,13.85,105.85,5_LITE
36,6,54.1,0,4,1,1,14.35,109.41,noop
37,6,5.1,0,4,1,1,16.21,72.51,noop
38,6,25.0,0,4,1,1,15.79,87.07,0_OFFLOAD
39,6,54.2,0,4,0,2,17.54,73.6,noop
40,6,73.1,0,4,0,2,17.18,72.45,noop
41,6,67.8,0,4,0,2,16.99,70.63,5_SKIP
42,6,37.4,0,3,1,2,15.26,85.97,noop
43,6,51.4,0,3,1,2,16.15,76.79,noop
44,6,37.0,0,3,1,2,16.1,78.39,1_LITE
45,6,41.5,0,4,1,1,15.11,85.09,noop
46,6,59.8,0,4,1,1,15.97,86.2,noop
47,6,53.7,0,4,1,1,16.03,77.91,4_OFFLOAD
48,6,19.8,0,3,1,2,14.81,88.63,noop
49,6,41.7,0,3,1,2,14.83,83.54,noop
50,6,40.7,0,3,1,2,14.96,88.54,noop
51,6,35.6,0,3,1,2,14.56,111.08,5_LITE
52,6,52.5,0,4,0,2,16.21,74.58,noop
53,6,70.5,0,4,0,2,16.19,76.63,noop
54,6,33.3,0,4,0,2,15.89,87.32,0_SKIP
55,6,40.7,0,4,1,1,15.62,89.16,noop
56,6,58.1,0,4,1,1,15.81,82.95,noop
57,6,25.7,0,4,1,1,15.53,81.1,0_OFFLOAD
58,6,43.1,0,4,0,2,16.37,78.5,noop
59,6,55.2,0,4,0,2,16.54,74.13,noop
60,6,53.4,0,4,0,2,16.53,72.78,4_SKIP
61,6,73.4,0,4,1,1,15.9,79.04,noop
62,6,28.8,0,4,1,1,15.16,94.82,noop
63,6,7.5,0,4,1,1,15.98,79.42,1_OFFLOAD
64,6,18.7,0,3,1,2,14.97,84.48,noop
65,6,31.2,0,3,1,2,15.51,83.91,noop
66,6,57.7,0,3,1,2,16.04,80.97,0_LITE
67,6,22.0,0,4,1,1,15.82,83.14,noop
68,6,35.4,0,4,1,1,16.33,75.31,noop
69,6,48.8,0,4,1,1,15.87,76.68,1_LITE
70,6,57.2,0,5,1,0,15.05,84.07,noop
71,6,65.7,0,5,1,0,13.93,121.18,noop
72,6,25.4,0,5,1,0,14.68,88.5,2_OFFLOAD
73,6,19.2,0,4,1,1,15.39,95.16,noop
74,6,52.4,0,4,1,1,16.01,76.04,noop
75,6,85.2,0,4,1,1,16.58,75.04,4_OFFLOAD
76,6,41.4,0,4,0,2,16.16,79.6,noop
77,6,60.9,0,4,0,2,16.84,72.6,noop
78,6,36.3,0,4,0,2,16.21,79.08,2_SKIP
79,6,39.6,0,4,1,1,15.48,83.49,noop
80,6,52.8,0,4,1,1,15.05,97.83,noop
81,6,51.2,0,4,1,1,15.95,84.28,1_OFFLOAD
82,6,32.2,0,3,1,2,15.39,84.13,noop
83,6,18.5,0,3,1,2,15.13,90.37,noop
84,6,42.8,0,3,1,2,15.83,77.17,noop
85,6,30.4,0,3,1,2,16.29,78.15,2_LITE
86,6,36.0,0,4,0,2,16.79,70.2,noop
87,6,46.0,0,4,0,2,16.97,71.75,noop
88,6,58.0,0,4,0,2,17.45,72.24,5_SKIP
