step,n_active,gpu_util,n_full,n_lite,n_skip,n_offload,avg_fps,avg_lat_ms,action
0,4,44.0,4,0,0,0,12.38,297.01,noop
1,4,66.1,4,0,0,0,14.41,86.16,3_LITE
2,4,51.9,3,1,0,0,13.71,265.14,noop
3,4,41.6,3,1,0,0,16.61,70.14,noop
4,4,71.6,3,1,0,0,16.23,73.58,0_LITE
5,4,69.6,2,2,0,0,17.94,92.72,noop
6,4,70.4,2,2,0,0,19.41,60.17,noop
7,4,61.0,2,2,0,0,19.62,59.61,2_LITE
8,4,58.8,1,3,0,0,17.23,106.3,noop
9,4,59.9,1,3,0,0,19.24,59.56,noop
10,4,62.9,1,3,0,0,19.41,58.36,1_LITE
11,4,51.1,0,4,0,0,17.09,96.18,noop
12,4,40.8,0,4,0,0,19.01,60.99,noop
13,4,52.5,0,4,0,0,19.17,58.35,2_SKIP
14,4,50.2,0,3,1,0,19.12,69.53,noop
15,7,59.8,3,3,1,0,10.51,185.22,noop
16,7,46.7,3,3,1,0,11.34,118.43,6_LITE
17,7,73.6,2,4,1,0,11.55,125.54,noop
18,7,44.6,2,4,1,0,11.83,122.63,noop
19,7,43.8,2,4,1,0,10.9,157.17,4_LITE
20,7,39.8,1,5,1,0,8.53,274.79,noop
21,7,73.4,1,5,1,0,11.45,140.33,noop
22,7,51.6,1,5,1,0,11.69,140.01,5_LITE
23,7,46.0,0,6,1,0,10.43,203.71,noop
24,7,40.9,0,6,1,0,12.13,128.23,noop
25,7,26.6,0,6,1,0,11.79,133.13,6_SKIP
26,7,38.9,0,5,2,0,9.79,164.5,noop
27,7,26.1,0,5,2,0,9.5,181.4,noop
28,7,52.3,0,5,2,0,11.16,156.88,2_OFFLOAD
29,7,51.4,0,5,1,1,12.5,135.27,noop
30,7,23.5,0,5,1,1,13.4,110.81,noop
31,7,20.9,0,5,1,1,13.79,112.11,5_SKIP
32,7,38.6,0,4,2,1,10.83,143.3,noop
33,7,47.6,0,4,2,1,11.33,122.47,noop
34,7,33.2,0,4,2,1,11.67,138.65,0_OFFLOAD
35,4,47.6,0,2,0,2,18.16,87.83,noop
36,4,42.0,0,2,0,2,18.62,70.31,noop
37,4,36.6,0,2,0,2,18.6,70.64,0_SKIP
38,4,41.1,0,2,1,1,18.65,65.56,noop
39,4,33.8,0,2,1,1,18.89,67.95,noop
40,4,21.8,0,2,1,1,19.41,64.63,3_OFFLOAD
41,4,30.8,0,1,1,2,16.31,85.1,noop
42,4,29.6,0,1,1,2,16.96,77.69,noop
43,4,33.0,0,1,1,2,17.39,74.26,2_LITE
44,4,39.2,0,2,1,1,17.72,72.45,noop
45,4,29.6,0,2,1,1,16.84,74.13,noop
46,4,17.4,0,2,1,1,19.05,67.2,0_OFFLOAD
47,4,47.2,0,2,0,2,18.52,77.35,noop
48,4,43.6,0,2,0,2,19.66,66.53,noop
49,4,53.9,0,2,0,2,19.25,69.01,2_SKIP
50,4,26.8,0,1,1,2,16.26,82.17,noop
51,4,34.9,0,1,1,2,17.37,77.29,noop
52,4,27.6,0,1,1,2,16.83,73.41,noop
53,4,20.3,0,1,1,2,17.41,71.9,noop
54,4,33.2,0,1,1,2,17.69,72.3,0_LITE
55,4,25.8,0,2,1,1,19.17,73.9,noop
56,4,25.4,0,2,1,1,18.28,66.47,noop
57,4,46.6,0,2,1,1,18.78,70.62,2_OFFLOAD
58,4,46.3,0,2,0,2,17.9,85.13,noop
59,4,39.7,0,2,0,2,19.78,67.84,noop
