step,n_active,gpu_util,n_full,n_lite,n_skip,n_offload,avg_fps,avg_lat_ms,action
0,4,53.8,4,0,0,0,12.16,298.13,noop
1,4,28.8,4,0,0,0,11.45,165.34,3_LITE
2,4,40.7,3,1,0,0,15.76,96.5,noop
3,4,56.7,3,1,0,0,16.33,70.54,noop
4,4,68.2,3,1,0,0,15.78,74.73,noop
5,4,63.1,3,1,0,0,14.62,132.7,0_LITE
6,4,57.2,2,2,0,0,17.18,102.43,0_OFFLOAD
7,4,65.0,2,1,0,1,17.91,77.76,noop
8,4,61.2,2,1,0,1,17.32,83.01,noop
9,4,58.4,2,1,0,1,17.78,66.73,noop
10,4,56.8,2,1,0,1,17.99,69.66,noop
11,4,49.7,2,1,0,1,18.71,64.84,0_LITE
12,4,54.6,2,2,0,0,19.49,62.04,0_FULL
13,4,53.8,3,1,0,0,16.21,72.17,3_FULL
14,4,62.6,4,0,0,0,16.51,71.48,noop
15,7,42.0,7,0,0,0,6.46,279.94,0_LITE
16,7,91.8,6,1,0,0,9.24,171.77,6_LITE
17,7,57.5,5,2,0,0,11.05,145.1,3_LITE
18,7,25.5,4,3,0,0,10.43,183.39,3_OFFLOAD
19,7,79.1,4,2,0,1,12.85,103.14,noop
20,7,18.1,4,2,0,1,13.47,90.63,noop
21,7,71.8,4,2,0,1,12.65,98.08,noop
22,7,25.9,4,2,0,1,12.75,109.43,4_LITE
23,7,45.8,3,3,0,1,12.9,107.65,noop
24,7,85.9,3,3,0,1,13.48,108.42,noop
25,7,59.3,3,3,0,1,12.84,102.58,noop
26,7,53.4,3,3,0,1,14.23,95.17,noop
27,7,96.7,3,3,0,1,12.71,96.28,2_LITE
28,7,93.7,2,4,0,1,13.3,149.97,0_OFFLOAD
29,7,69.7,2,3,0,2,14.6,89.38,0_SKIP
30,7,63.5,2,3,1,1,11.92,110.36,noop
31,7,52.4,2,3,1,1,11.69,126.58,noop
32,7,58.4,2,3,1,1,12.48,105.2,noop
33,7,31.2,2,3,1,1,11.94,103.91,noop
34,7,47.0,2,3,1,1,12.66,104.29,0_OFFLOAD
35,4,55.2,1,1,0,2,16.99,85.97,0_SKIP
36,4,46.3,1,1,1,1,16.21,79.22,noop
37,4,59.0,1,1,1,1,14.67,87.93,noop
38,4,53.0,1,1,1,1,15.18,85.7,noop
39,4,52.0,1,1,1,1,15.17,86.63,noop
40,4,40.2,1,1,1,1,15.2,91.4,0_OFFLOAD
41,4,49.9,1,1,0,2,17.72,77.14,0_LITE
42,4,37.8,1,2,0,1,19.49,62.36,3_LITE
43,4,61.3,1,3,0,0,18.87,68.32,noop
44,4,47.6,1,3,0,0,18.98,62.69,0_FULL
45,4,40.8,2,2,0,0,18.75,65.53,2_FULL
46,4,73.0,3,1,0,0,15.97,76.86,noop
47,4,53.2,3,1,0,0,16.28,72.41,3_FULL
48,4,59.3,4,0,0,0,15.72,77.53,noop
49,4,40.2,4,0,0,0,16.59,67.03,noop
50,4,73.3,4,0,0,0,15.95,75.04,noop
51,4,39.8,4,0,0,0,15.86,72.61,noop
52,4,27.4,4,0,0,0,15.7,72.28,noop
53,4,87.5,4,0,0,0,16.61,69.89,noop
54,4,51.6,4,0,0,0,15.99,70.47,noop
55,4,32.1,4,0,0,0,16.07,79.86,noop
56,4,61.8,4,0,0,0,16.63,68.58,noop
57,4,44.0,4,0,0,0,15.72,70.08,noop
58,4,57.1,4,0,0,0,15.88,69.06,noop
59,4,43.7,4,0,0,0,16.41,68.56,noop
